local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000017,Hillingdon,E01002468,Hillingdon 010C,482500,500000
E09000017,Hillingdon,E01002469,Hillingdon 010D,475000,485000
E09000017,Hillingdon,E01032577,Hillingdon 033E,485000,560000
E09000019,Islington,E01002697,Islington 019B,570000,
E09000021,Kingston upon Thames,E01003000,Kingston upon Thames 017C,428000,510000
E09000022,Lambeth,E01003023,Lambeth 021C,431250,490000
E09000023,Lewisham,E01003207,Lewisham 005A,399000,363750
E09000023,Lewisham,E01003226,Lewisham 019A,466250,674250
E09000024,Merton,E01003422,Merton 025E,435000,530650
E09000026,Redbridge,E01003673,Redbridge 007F,447500,542500
E09000026,Redbridge,E01003710,Redbridge 008D,552000,529000
E09000028,Southwark,E01003949,Southwark 032A,426250,470000
E09000031,Waltham Forest,E01004351,Waltham Forest 001C,413000,463500
E09000031,Waltham Forest,E01004354,Waltham Forest 002C,420000,540000
E09000009,Ealing,E01001260,Ealing 012B,390000,450000
E09000014,Haringey,E01002098,Haringey 007A,525000,555000
E09000028,Southwark,E01004041,Southwark 013D,391500,
E09000003,Barnet,E01000251,Barnet 002D,366000,481250
E09000028,Southwark,E01004035,Southwark 011D,440000,616888
E09000031,Waltham Forest,E01004361,Waltham Forest 005A,480000,483000
E09000003,Barnet,E01000165,Barnet 022E,450000,527500
E09000006,Bromley,E01000751,Bromley 036C,390000,525000
E09000006,Bromley,E01000774,Bromley 041D,535000,550000
E09000015,Harrow,E01002172,Harrow 033C,535000,493000
E09000023,Lewisham,E01003223,Lewisham 025D,480000,480000
E09000023,Lewisham,E01003277,Lewisham 011B,554000,531000
E09000027,Richmond upon Thames,E01003905,Richmond upon Thames 010A,397475,523500
E09000003,Barnet,E01000161,Barnet 015D,610000,597500
E09000003,Barnet,E01000178,Barnet 027B,548750,938500
E09000005,Brent,E01000533,Brent 031E,454000,462500
E09000008,Croydon,E01001092,Croydon 037B,560000,530000
E09000008,Croydon,E01001123,Croydon 033C,462500,487500
E09000009,Ealing,E01001248,Ealing 035A,582000,415000
E09000009,Ealing,E01001314,Ealing 002E,,489000
E09000010,Enfield,E01001541,Enfield 008D,445000,500000
E09000012,Hackney,E01001820,Hackney 024E,421000,466000
E09000012,Hackney,E01033704,Hackney 023F,577500,707500
E09000015,Harrow,E01002240,Harrow 024C,515000,507500
E09000018,Hounslow,E01002657,Hounslow 018E,487500,500000
E09000021,Kingston upon Thames,E01002925,Kingston upon Thames 013B,380000,405000
