listings_x,price_sum_x,price_mean_x,price_median,price_std_x,lq_x,uq_x,listings_y,price_sum_y,price_mean_y,price_std_y,lq_y,uq_y,change_listings,change_price_sum,change_price_mean,change_price_std,change_lq,change_uq,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,latitude,longitude,geometry,medianincome,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021,house_price_change_16to21,deprivation,gent
6,360,60,47.5,45.38722287,37.5,53.75,1,63,63,0,63,63,5,297,-3,47.5,-17.61,-25.5,E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1353,1353,0,32.3,469,2.9,550432.3449,185260.9533,POINT (550432.3449 185260.9533),39360,304500,350000,45500,5,0.41
3,87,29,29,3,27.5,30.5,1,100,100,0,100,100,2,-13,-71,29,-97,-72.5,E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1788,1786,2,77.3,679,2.6,546209.9844,184144.9905,POINT (546209.9844 184144.9905),33030,429995,260000,-169995,2,0.59
5,260,52,39,47.10626285,27,39,4,287,71.75,48.89700059,47,73.75,1,-27,-19.75,-9.9,0.11,-46.75,E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1798,1793,5,105.4,629,2.9,545070.7375,183973.1846,POINT (545070.7375 183973.1846),36020,320000,363000,43000,3,0.52
4,220,55,57.5,23.4520788,43.75,68.75,0,0,0,0,0,0,4,220,55,57.5,23.45,43.75,E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1650,1646,4,55.3,602,2.7,546484.0646,183860.9782,POINT (546484.0646 183860.9782),34910,260000,311000,51000,2,0.46
4,320,80,73.5,40.47221269,47.25,106.25,4,251,62.75,9.03234927,57,64.75,0,69,17.25,64.47,-16.53,-17.5,E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1661,1661,0,120.6,615,2.7,544775.2944,183795.2995,POINT (544775.2944 183795.2995),32860,303000,228741,-74259,2,0.51
4,319,79.75,47,82.15990506,28,98.75,1,32,32,0,32,32,3,287,47.75,47,50.16,-4,E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2014,2014,0,100.9,769,2.6,545279.2585,183558.6236,POINT (545279.2585 183558.6236),33220,295000,310000,15000,2,0.51
4,179,44.75,34.5,40.14453055,18.25,61,2,52,26,0,26,26,2,127,18.75,34.5,14.14,-7.75,E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1718,1718,0,100.4,638,2.7,547990.5226,184130.7113,POINT (547990.5226 184130.7113),35160,292500,335000,42500,3,0.43
4,107,26.75,28.5,4.573474245,26,29.25,1,29,29,0,29,29,3,78,-2.25,28.5,-24.43,-3,E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1584,1542,42,65,573,2.7,548325.2575,183858.0122,POINT (548325.2574999999 183858.0122),34710,245000,313500,68500,2,0.36
2,70,35,35,21.21320344,27.5,42.5,2,150,75,69.29646456,50.5,99.5,0,-80,-40,-34.3,-29.29,-72,E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1849,1849,0,101.5,690,2.7,548230.8738,184460.6127,POINT (548230.8737999999 184460.6127),35490,306000,292500,-13500,3,0.53
3,63,21,22,2.645751311,20,22.5,0,0,0,0,0,0,3,63,21,22,2.65,20,E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1582,1540,42,75.9,578,2.7,548639.1043,184113.8528,POINT (548639.1043 184113.8528),34310,302000,305000,3000,3,0.41
7,453,64.71428571,65,19.1112034,56.5,69,0,0,0,0,0,0,7,453,64.71,65,19.11,56.5,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1809,1809,0,32.9,770,2.3,549646.6315,186564.2091,POINT (549646.6315 186564.2091),33770,275000,325000,50000,2,0.48
4,144,36,36,9.309493363,28.5,43.5,1,57,57,0,57,57,3,87,-21,36,-47.69,-28.5,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1952,1952,0,88.2,761,2.6,549300.6193,186072.6764,POINT (549300.6193 186072.6764),34410,294000,328000,34000,3,0.51
5,533,106.6,120,68.75899941,40,170,1,57,57,0,57,57,4,476,49.6,120,11.76,-17,E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1620,1620,0,89.4,635,2.6,548845.8847,186314.8684,POINT (548845.8847000001 186314.8684),33650,295000,307250,12250,2,0.42
7,625,89.28571429,99,64.10333919,44,100,2,89,44.5,17.67766953,38.25,50.75,5,536,44.79,81.32,25.85,-6.75,E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1893,1831,62,90.7,709,2.6,549671.327,186057.1378,POINT (549671.327 186057.1378),33090,270000,265000,-5000,2,0.5
2,228,114,114,135.764502,66,162,1,38,38,0,38,38,1,190,76,114,97.76,28,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1736,1736,0,74.3,774,2.2,548717.1726,185924.3968,POINT (548717.1726 185924.3968),31860,292500,322500,30000,2,0.46
3,230,76.66666667,25,90.35670054,24.5,103,0,0,0,0,0,0,3,230,76.67,25,90.36,24.5,E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1928,1928,0,78.7,683,2.8,546122.0744,185148.75,POINT (546122.0744 185148.75),39730,241250,401500,160250,4,0.37
