room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
57906,276506,Private room,Newham,Canning Town North,39,4.5,2,2.0,81.0,2,51.518173,0.011247,2013-12-21 22:23:43
58501,40327,Entire home/apt,Westminster,St. James's,3,4.0,4,1.0,313.0,5,51.512355,-0.129907,2013-12-23 02:25:22
58542,280260,Private room,Waltham Forest,Grove Green,37,5.0,3,2.0,45.0,3,51.560667,-0.007082,2013-12-22 22:37:13
59656,196620,Private room,Westminster,Little Venice,87,5.0,2,2.0,116.0,1,51.523327,-0.184424,2013-12-23 02:42:40
60202,289870,Private room,Haringey,Hornsey,7,5.0,1,1.0,54.0,1,51.587022,-0.117703,2013-12-22 00:35:56
60217,289928,Private room,Haringey,Northumberland Park,3,4.0,3,2.0,50.0,7,51.59984,-0.060546,2013-12-22 02:25:45
60222,289910,Private room,Barnet,Burnt Oak,1,4.5,2,1.0,63.0,2,51.599241,-0.252944,2013-12-22 21:50:00
60223,289965,Private room,Ealing,Northfield,5,4.0,2,3.0,63.0,2,51.495646,-0.312869,2013-12-21 23:10:28
60355,290689,Private room,Newham,Custom House,15,5.0,2,1.0,99.0,1,51.51268,0.026953,2013-12-22 01:18:27
60395,290867,Private room,Ealing,Northfield,52,5.0,2,1.0,41.0,3,51.495402,-0.310816,2013-12-23 03:40:37
60414,291001,Private room,Westminster,Hyde Park,172,5.0,2,2.0,89.0,1,51.516444,-0.172286,2013-12-23 13:49:02
60696,289887,Private room,Newham,West Ham,4,4.5,2,1.0,66.0,2,51.529833,0.008752,2013-12-22 21:15:34
60702,292744,Private room,Hounslow,Osterley and Spring Grove,4,4.5,2,1.0,63.0,1,51.48376,-0.326743,2013-12-23 13:27:15
60751,189764,Private room,Islington,Caledonian,13,4.5,1,1.0,99.0,4,51.53177,-0.117594,2013-12-21 23:45:51
61158,295719,Entire home/apt,Camden,Gospel Oak,2,4.5,4,2.0,304.0,7,51.554271,-0.154044,2013-12-22 23:05:26
61535,297981,Entire home/apt,Westminster,Hyde Park,84,5.0,2,1.0,234.0,2,51.514334,-0.162913,2013-12-21 20:56:41
61692,299008,Shared room,Southwark,South Bermondsey,0,,2,1.0,157.0,1,51.488807,-0.065494,2013-12-23 01:59:16
61695,299027,Private room,Tower Hamlets,St. Peter's,27,4.5,3,1.0,74.0,1,51.527636,-0.064141,2013-12-22 00:36:55
62228,302737,Entire home/apt,Hammersmith and Fulham,Addison,8,4.5,1,1.0,117.0,1,51.499302,-0.21755,2013-12-21 19:58:38
62259,302904,Entire home/apt,Hackney,Lea Bridge,59,4.5,5,1.0,107.0,1,51.565086,-0.050261,2013-12-23 02:52:50
62260,302904,Private room,Hackney,Lea Bridge,18,4.5,3,1.0,36.0,1,51.565651,-0.04864,2013-12-23 00:51:36
62451,303994,Entire home/apt,Islington,Bunhill,27,4.0,6,2.0,267.0,2,51.525787,-0.099533,2013-12-22 23:17:48
62957,53348,Private room,Camden,Haverstock,63,4.0,2,1.0,43.0,1,51.549813,-0.151761,2013-12-23 16:02:32
62970,133271,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,21,5.0,6,3.0,447.0,3,51.522592,-0.069503,2013-12-23 01:00:31
63051,307524,Entire home/apt,Hackney,Hoxton West,21,4.5,2,1.0,215.0,2,51.531435,-0.092386,2013-12-23 13:40:37
63470,199626,Entire home/apt,Barnet,High Barnet,1,4.0,2,1.0,125.0,7,51.654283,-0.180932,2013-12-22 21:44:15
63679,246449,Private room,Kensington and Chelsea,Abingdon,133,5.0,2,1.0,116.0,1,51.495857,-0.194123,2013-12-23 02:38:55
63857,54987,Entire home/apt,Tower Hamlets,Whitechapel,1,3.5,5,2.0,267.0,5,51.511488,-0.067144,2013-12-23 14:22:11
63864,54987,Entire home/apt,Tower Hamlets,Canary Wharf,2,4.0,3,1.0,213.0,3,51.497259,-0.020223,2013-12-23 13:48:46
63948,216660,Private room,Hammersmith and Fulham,Hammersmith Broadway,1,5.0,2,1.0,141.0,1,51.494022,-0.22724,2013-12-22 21:35:56
64408,191154,Entire home/apt,Greenwich,Glyndon,42,4.5,8,2.0,161.0,1,51.496454,0.078212,2013-12-22 21:34:36
64429,193586,Private room,Kensington and Chelsea,Golborne,65,4.0,2,1.0,107.0,1,51.520535,-0.209681,2013-12-23 04:37:47
64489,306598,Private room,Richmond upon Thames,Twickenham Riverside,0,,2,1.0,179.0,3,51.45847,-0.313609,2013-12-23 00:52:07
64639,315891,Private room,Ealing,Cleveland,0,,2,1.0,117.0,1,51.515088,-0.322967,2013-12-21 22:50:05
64988,317695,Private room,Hackney,London Fields,44,5.0,2,1.0,134.0,2,51.543773,-0.0653,2013-12-23 14:27:17
65638,320901,Entire home/apt,Southwark,Newington,74,4.5,2,1.0,159.0,4,51.486241,-0.09624,2013-12-23 03:59:03
65908,322341,Private room,Lambeth,Brixton Hill,0,,2,1.0,144.0,2,51.459705,-0.120078,2013-12-21 22:29:02
66566,163836,Private room,Islington,Tollington,33,5.0,2,1.0,34.0,2,51.566851,-0.112618,2013-12-22 02:04:23
66641,325805,Entire home/apt,Westminster,West End,32,5.0,4,1.0,320.0,2,51.51957,-0.141008,2013-12-23 00:10:34
66772,216660,Private room,Hammersmith and Fulham,Hammersmith Broadway,8,5.0,2,1.0,98.0,1,51.49404,-0.227378,2013-12-23 02:22:12
67025,211108,Entire home/apt,Westminster,Knightsbridge and Belgravia,23,5.0,5,1.0,268.0,3,51.495998,-0.154224,2013-12-23 13:29:15
67228,188940,Entire home/apt,Brent,Kilburn,22,4.5,8,2.0,270.0,1,51.533088,-0.201549,2013-12-21 20:45:25
67512,333087,Private room,Ealing,Acton Central,0,,2,1.0,135.0,1,51.512731,-0.272516,2013-12-22 00:05:02
67851,235606,Entire home/apt,Hackney,London Fields,5,5.0,2,1.0,125.0,7,51.541547,-0.05838,2013-12-23 01:26:42
67934,335716,Private room,Barnet,Burnt Oak,4,4.5,1,1.0,39.0,5,51.60202,-0.261386,2013-12-22 22:39:54
69198,345886,Private room,Haringey,West Green,2,5.0,1,1.0,63.0,1,51.590159,-0.094272,2013-12-21 19:43:27
69644,349734,Entire home/apt,Lambeth,Bishop's,159,5.0,5,1.0,125.0,1,51.495945,-0.120018,2013-12-23 03:04:47
69773,321010,Entire home/apt,Southwark,Faraday,35,5.0,4,2.0,349.0,4,51.484273,-0.095179,2013-12-23 15:54:31
70182,174430,Private room,Lewisham,New Cross,39,4.5,2,1.0,72.0,3,51.476558,-0.048441,2013-12-21 23:10:50
70205,226756,Private room,Camden,St. Pancras and Somers Town,118,5.0,2,1.0,126.0,1,51.538366,-0.135564,2013-12-21 23:16:21
70994,40327,Entire home/apt,Westminster,West End,1,5.0,4,1.0,295.0,5,51.513757,-0.132027,2013-12-23 01:28:45
71875,67564,Entire home/apt,Camden,Bloomsbury,11,5.0,3,1.0,266.0,3,51.522788,-0.139186,2013-12-21 21:15:24
71888,168259,Private room,Newham,Forest Gate North,9,4.5,1,1.0,45.0,1,51.553322,0.009776,2013-12-21 22:27:56
71969,370404,Private room,Camden,Camden Town with Primrose Hill,53,5.0,1,1.0,89.0,1,51.538234,-0.142638,2013-12-22 23:18:02
71983,17577,Entire home/apt,Wandsworth,Queenstown,10,5.0,2,1.0,147.0,2,51.474354,-0.154399,2013-12-21 23:51:56
72059,371121,Private room,Haringey,Alexandra,8,5.0,4,2.0,143.0,2,51.596002,-0.142064,2013-12-23 00:10:49
72262,223425,Entire home/apt,Tower Hamlets,St. Peter's,8,4.0,8,2.0,232.0,2,51.531812,-0.060405,2013-12-21 22:57:32
